Sales,Quantity,Discount,Order ID,Profit
808.162,22,0.18,10,95.5816
7294.185,95,0.084483,29,2199.2781
1338.842,44,0.25,14,137.7439
265.296,15,0.166667,6,36.6131
1459.344,79,0.023529,17,340.7054
2682.728,43,0.233333,12,278.777
130.83,7,0,2,59.4522
983.42,30,0.142857,7,209.783
2442.044,70,0.165,20,433.9751
1697.861,32,0.081818,11,647.3847
3675.861,69,0.194444,18,363.5991
1181.49,14,0.066667,6,-197.2695
2475.157,51,0.3,16,-319.0637
10501.653,39,0.011111,9,2616.0644
3887.834,58,0.276923,13,-17.5322
2454.928,41,0.3,10,381.7807
3288.11,47,0.181818,11,238.7368
2562.382,45,0.132143,14,-113.2984
949.43,22,0,8,194.0516
2567.656,33,0.044444,9,417.5918
2186.613,38,0.15,10,257.9163
603.876,16,0.157143,7,-77.5256
415.196,11,0.066667,3,126.8694
2684.492,44,0.1,10,409.4983
3196.752,88,0.07,20,447.7484
1523.273,49,0.092857,14,315.2214
385.516,8,0.133333,3,-58.2866
4750.358,74,0.141176,17,921.2574
1738.406,49,0.15,10,246.9973
3789.7228,29,0.112,10,1143.3817
1679.724,49,0.3,10,211.2559
2648.2872,65,0.189412,17,279.6183
1421.954,25,0.118182,11,246.0218
3041.566,72,0.188235,17,204.4895
6076.139,122,0.163462,26,150.2089
1949.2,44,0.333333,12,272.3883
4246.4555,74,0.05,19,1049.5601
1770.945,46,0.215385,13,208.5912
2471.65,31,0.081818,11,392.2825
3913.418,81,0.118182,22,393.9618
2870.05,63,0.057895,19,424.6583
1659.438,40,0.161538,13,154.851
113.832,14,0.15,4,33.8706
2540.631,39,0.275,12,331.434
2269.7015,47,0.167857,14,187.8399
2854.115,51,0.25,12,850.1591
2033.968,35,0.044444,9,426.661
639.766,22,0.433333,6,-206.7172
1205.584,39,0.084615,13,233.0274
1860.732,49,0.026667,15,403.8422
904.468,37,0.188889,9,86.5106
1148.78,14,0.2,5,169.9344
1537.236,13,0.15,4,195.1511
16.52,5,0.2,1,1.652
11164.974,83,0.1885,20,858.7414
3154.855,122,0.234375,32,141.2831
2945.321,46,0.183333,12,261.2209
2372.75,108,0.184,25,497.7098
1582.109,64,0.15,14,-338.4311
1262.014,24,0.057143,7,328.0847
10880.546,106,0.114286,28,1933.7831
2353.586,34,0.1875,8,229.0099
1673.888,38,0.12,10,214.463
565.392,18,0.2,4,-43.7324
1661.61,35,0.028571,7,409.0679
2533.314,23,0.242857,7,-394.3686
1475.144,21,0.071429,7,91.2033
2305.712,28,0.075,8,365.0387
8954.02,34,0.12,10,3899.8904
287.99,32,0.077778,9,64.4296
6339.5576,42,0.072,10,1572.4585
3984.4524,57,0.309231,13,176.3108
5402.254,57,0.142857,14,427.0258
5888.275,59,0.213333,15,-1850.3029
2148.852,32,0.133333,6,74.4013
475.9,14,0,4,144.7594
1600.55,18,0.266667,6,306.9176
1397.8724,26,0.131429,7,83.2703
1278.954,22,0.275,8,185.3776
537.632,16,0.228571,7,105.8275
3036.547,68,0.263636,22,-126.4223
884.64,28,0.114286,7,143.8339
844.458,30,0.1625,8,113.1405
2754.216,97,0.057143,28,738.3626
3202.162,74,0.081818,22,831.9432
3651.8585,47,0.214286,14,-342.8033
550.644,13,0.066667,6,156.2593
1077.2285,33,0.25,9,-302.8761
5690.055,40,0.2,9,-6626.3895
3241.898,60,0.161111,18,161.2263
2830.628,54,0.076923,13,493.0861
2370.3136,62,0.243158,19,98.9975
1136.592,40,0.090909,11,370.8298
2900.026,43,0.2,11,60.6467
1300.076,30,0.175,8,205.6282
156.76,27,0.125,8,56.7904
2171.599,47,0.154167,12,431.3748
2839.2272,43,0.165714,14,213.0029
4531.646,48,0.184615,13,473.0272
2973.094,59,0.142857,14,-1421.7692
2332.577,75,0.185714,21,169.9679
4655.897,52,0.207692,13,841.8264
1081.466,28,0.083333,6,291.0085
1711.692,62,0.028571,14,438.9092
3908.8028,61,0.151429,14,109.327
1989.05,41,0.145455,11,438.8012
1155.202,33,0.16,10,177.6735
3336.168,64,0.211111,18,-1441.6313
1174.618,37,0.078571,7,132.0682
269.542,33,0.244444,9,36.4344
2550.874,38,0.111111,9,464.4714
2390.534,23,0.283333,6,-259.3097
3195.818,39,0.1,8,562.7761
4932.872,81,0.078261,23,1193.7404
1043.096,41,0.122727,11,116.667
2012.52,20,0,5,483.035
2501.688,52,0.069231,13,345.2521
3356.398,43,0.0625,8,731.5644
3256.48,86,0.177778,27,881.1228
4282.176,65,0.08,15,937.6496
1687.04,32,0.1625,8,-107.3538
2650.557,33,0.138462,13,536.3935
797.832,20,0.12,5,249.9447
4802.394,70,0.194737,19,209.8994
3318.486,77,0.108696,23,377.0799
1503.112,51,0.15,14,322.2449
3272.2,43,0.035714,14,4.2132
1458.258,74,0.182353,17,288.8732
585.02,32,0.05,8,222.6812
3539.322,33,0.05,12,-52.788
1322.034,28,0.166667,9,108.7583
6345.103,87,0.23,20,1677.3931
4074.472,41,0.1,13,1319.0586
1376.792,33,0.17,10,199.7688
2139.79,41,0.018182,11,540.5405
1300.0315,48,0.157692,13,-38.9086
1267.316,36,0.090909,11,294.0676
1050.636,58,0.211765,17,241.4524
2215.002,63,0.114286,14,563.1761
1058.616,20,0.15,4,-40.9376
5480.724,50,0.185714,14,1571.8318
6528.034,103,0.133333,24,1641.8613
8350.868,57,0.153846,13,2869.076
1762.213,54,0.139474,19,193.3319
2881.8128,68,0.1535,20,163.6993
1119.483,28,0.172222,9,-427.184
3341.587,62,0.113333,15,353.2127
1080.751,39,0.244444,9,-86.8738
5271.628,38,0.036364,11,1348.7556
344.08,21,0.177778,9,69.6672
1204.854,44,0.17,10,-266.8966
755.602,19,0.216667,6,175.2388
7198.761,99,0.186207,29,333.3648
2846.705,87,0.3,25,-52.7406
3644.978,55,0.258333,12,13.6215
3236.314,91,0.145,20,-80.286
4358.128,41,0.125,8,656.1988
2767.219,41,0.290909,11,261.5315
944.6,24,0.171429,7,0.6042
1643.255,18,0.283333,6,162.8781
3071.126,30,0.209091,11,184.7656
1186.326,20,0.228571,7,282.1701
461.914,37,0.1,7,96.4256
3484.92,54,0.214286,14,670.4435
1832.02,44,0.2,9,104.2656
10310.88,120,0.071875,32,1393.5154
684.171,72,0.294118,17,53.5398
825.95,20,0.0625,8,150.3759
1219.53,50,0.172727,11,-94.1408
3082.653,76,0.205556,18,96.2702
923.884,22,0.2875,8,242.1107
2162.174,31,0.175,8,387.0176
2656.691,31,0.0625,8,451.8755
1303.478,18,0.0875,4,97.1066
124.28,9,0,2,27.1154
2567.01,23,0.142857,7,-133.8275
2339.598,57,0.0625,16,682.5542
933.704,18,0.233333,6,102.296
228.99,22,0.25,6,40.1546
1041.042,34,0.1,10,240.2362
4588.436,74,0.066667,21,1319.3655
366.822,13,0.125,4,21.7721
2199.366,27,0.044444,9,496.1131
5478.0608,124,0.197419,31,144.9578
1245.788,27,0.2,5,-295.7398
3510.458,31,0.125,8,1003.2935
4657.924,77,0.26,20,246.6661
2984.054,58,0.258824,17,520.5229
3418.742,50,0.135714,14,1217.1662
3889.366,37,0.16,10,714.2926
1383.144,48,0.118182,11,394.7397
4256.272,65,0.128571,21,1073.2676
2271.284,52,0.107143,14,706.289
6987.196,52,0.138462,13,2050.2826
2456.638,48,0.093333,15,249.6808
3736.198,79,0.18,20,198.1095
2523.266,53,0.157143,14,191.4898
2678.438,60,0.22,15,215.5969
4046.746,54,0.135714,14,406.4473
79.75,9,0,3,23.4913
3919.776,48,0.064286,14,840.899
1398.382,79,0.179545,22,136.7079
1568.44,62,0.17,20,7.8371
4716.288,63,0.0375,16,1135.8393
1888.07,25,0.133333,6,230.9373
2224,92,0.15,24,12.6985
2819.467,65,0.270588,17,-576.8335
4172.846,51,0.19,10,1176.4181
1361.244,15,0.466667,3,-95.4498
146.9408,9,0.24,3,-5.8102
6497.27,66,0.157143,14,1448.5525
3582.82,43,0.118182,11,347.266
3078.624,54,0.166667,12,793.2814
1255.682,53,0.115385,13,441.3185
3163.628,31,0.145455,11,35.4865
6049.966,44,0.054545,11,188.7235
236.53,21,0.14,5,31.8376
1284.38,23,0,5,359.8332
9351.212,26,0.25,6,-4108.6589
226.436,23,0.2,7,-6.1392
2189.019,43,0.155556,9,-268.5423
4355.15,48,0.078571,14,1087.7539
2454.622,25,0.04,5,828.661
2163.3,45,0.23,10,270.8574
2584.158,72,0.2,18,99.1445
251.36,31,0.3,7,-135.876
883.532,44,0.018182,11,274.4028
2533.164,70,0.131579,19,-13.8768
785.628,31,0.19,10,147.0032
3247.642,68,0.170588,17,-2797.9635
3690.284,38,0.172727,11,804.6113
218.668,20,0.033333,6,86.7342
358.1,21,0.1,6,98.6548
4877.784,64,0.213333,15,956.9451
8236.7648,76,0.231,20,2437.9836
736.276,29,0.171429,7,117.2755
1990.314,44,0.3,10,373.8637
1299.288,38,0.046154,13,185.5794
5248.787,51,0.1,14,1196.9504
9300.254,85,0.045,20,2164.1611
886.52,21,0.2,6,-130.3879
744.574,19,0.028571,7,320.4982
5040.736,60,0.071429,14,1121.937
2872.63,19,0.1,4,975.7701
4930.474,93,0.166667,21,514.6527
6491.026,87,0.2125,24,-819.4217
1791.605,43,0.20625,16,156.0532
900.552,32,0.3,8,-286.9808
644.1188,32,0.074286,7,126.7649
2518.115,32,0.188889,9,201.5185
71.263,12,0.225,4,-0.3556
1058.108,14,0.05,4,502.9244
2772.055,64,0.121875,16,279.5692
858.576,43,0.044444,9,201.5952
2152.352,26,0.171429,7,-266.5525
7610.864,150,0.075,32,1050.2668
385.43,39,0.309091,11,26.7605
695.442,17,0.05,6,111.1141
8828.0305,60,0.055882,17,1619.5199
1388.682,49,0.184615,13,276.2197
7754.976,74,0.16,20,1623.4019
8697.843,97,0.322727,22,1262.2926
6760.815,90,0.145652,23,221.7967
2697.248,34,0.028571,7,789.6476
2279.586,72,0.121053,19,575.1259
955.124,42,0.114286,14,97.289
1911.844,58,0.075,16,330.199
2371.448,69,0.071429,14,635.6376
1082.918,36,0.146667,15,-18.0673
4198.332,67,0.175,16,1073.2088
2358.676,20,0.242857,7,684.1911
6366.392,70,0.111111,18,1415.6664
2240.58,46,0.254545,11,3.7976
1507.018,46,0.066667,9,206.1019
309.281,29,0.314286,7,-24.0771
528.91,29,0.15,8,26.0822
959.477,35,0.144444,9,-13.5545
7954.998,64,0.085714,14,-644.6982
2256.394,28,0.22,5,-96.953
709.178,25,0.066667,6,200.5558
195,11,0.066667,3,34.4492
4427.142,67,0.130769,13,1219.983
383.812,15,0.1,4,55.3277
2709.632,72,0.123529,17,330.2838
3760.028,44,0.116667,12,750.9485
4760.434,41,0.1,12,1172.5303
4867.2,88,0.3325,20,55.0483
3747.668,43,0.2,9,586.6625
2932.484,49,0.205882,17,122.6566
1214.956,42,0.266667,12,-207.7956
1571.523,29,0.214286,7,209.2817
2203.7,39,0.22,10,54.5174
3173.874,56,0.070588,17,591.7163
9799.923,143,0.088235,34,228.907
2725.256,38,0.236364,11,779.9046
3159.122,91,0.289474,19,19.8235
1804.146,52,0.138462,13,502.6143
1733.443,46,0.09,10,356.5395
303.948,26,0.114286,7,113.1204
864.947,41,0.158333,12,117.204
7625.076,50,0.184615,13,1574.6164
2833.926,74,0.063158,19,754.1144
3254.949,59,0.073077,13,581.4045
1934.272,36,0.172727,11,202.1362
1090.838,42,0.236364,11,167.6709
1669.135,54,0.14,15,429.7465
3635.594,63,0.059375,16,757.1802
1707.71,47,0.153846,13,309.7116
1156.658,14,0.3,3,-785.1645
863.88,3,0.2,1,107.985
2201.686,41,0.22,10,452.373
1417.654,35,0.3125,8,-175.549
1131.064,42,0.209091,11,-54.8692
3868.02,43,0.146667,9,564.9798
469.169,37,0.3375,8,-327.9336
2516.494,70,0.183333,18,-311.2575
7721.714,66,0.071429,14,2173.7094
1244.086,41,0.081818,11,-29.5759
1428.731,38,0.328571,7,154.0637
1519.506,57,0.054545,11,234.9194
3152.615,34,0.15,10,763.9076
1569.464,62,0.195455,22,49.7193
908.821,25,0.044444,9,274.297
2744.742,102,0.108696,23,579.3551
983.922,29,0.266667,9,293.5524
2120.954,40,0.02,10,846.1217
3908.262,28,0.2,5,709.4219
1146.05,40,0.085714,7,156.7797
8282.358,64,0.1875,16,1107.6952
1888.964,36,0.13,10,328.5942
8181.256,84,0.0875,28,3038.6254
2243.51,56,0.107692,13,539.7219
1686.7312,67,0.214667,15,397.8799
10604.266,67,0.033333,18,1660.1386
3312.864,70,0.138889,18,454.7871
3100.612,40,0.15,14,528.2051
5952.859,91,0.108696,23,656.1162
3918.966,84,0.105882,17,727.3786
5990.799,69,0.126667,15,1227.5091
5016.488,84,0.295455,22,-182.7813
2260.958,72,0.021053,19,635.1057
5620.186,69,0.14,20,973.7902
453.538,30,0.044444,9,91.1391
4909.472,98,0.089286,28,745.7685
2617.272,56,0.217647,17,-151.1518
2171.962,49,0.28125,8,114.3083
2280.58,55,0.12,15,329.7625
88.472,10,0.275,4,0.111
3057.1,45,0.228571,14,254.0032
4642.0884,37,0.147692,13,194.0671
4416.52,42,0.11,10,1756.135
449.096,22,0.04,5,107.927
8673.222,105,0.115385,26,2059.1199
50.188,12,0.266667,3,18.6507
4985.676,76,0.2375,24,-52.191
2580.704,113,0.24,30,-188.2511
7663.126,93,0.156522,23,1288.3469
4492.946,52,0.171429,14,288.266
3246.626,30,0.285714,7,299.4802
2095.064,43,0.272222,9,86.778
2633.582,62,0.184211,19,231.1252
5.304,3,0.2,1,0.4641
1961.934,25,0.028571,7,557.1714
1469.45,32,0.255556,9,161.7649
3930.509,69,0.31875,16,-3583.977
287.426,12,0.366667,3,12.6277
2295.332,64,0.126667,15,526.0727
318.239,34,0.466667,6,-242.7399
1739.689,44,0.078947,19,316.5202
2741.204,50,0.016667,12,560.0078
1346.774,32,0.057143,7,-44.878
644.35,34,0.255556,9,150.1712
756.606,39,0.111111,9,110.7813
3653.399,52,0.186667,15,338.4454
5142.892,64,0.175,16,535.4764
1879.306,44,0.275,12,-382.8079
2845.27,51,0.307143,14,-318.7737
2988.674,63,0.281818,22,262.6367
1010.256,54,0.2,14,244.197
368.88,16,0.116667,6,39.1952
1008.136,47,0.083333,12,348.3584
329.876,8,0.133333,3,59.036
2936.252,63,0.246429,14,320.973
2238.061,50,0.206667,15,32.5767
3230.308,38,0.109091,11,662.8339
1259.04,15,0,5,192.6312
5420.514,59,0.166667,15,837.2411
4299.161,117,0.094118,34,1240.2266
2453.284,42,0.041667,12,280.7822
1548.702,63,0.173684,19,212.425
1428.231,39,0.2,10,117.8057
2725.982,54,0.130769,13,461.0014
4432.138,48,0.12,10,1802.3903
1303.893,40,0.290909,11,210.7493
2426.067,47,0.170588,17,288.9841
2258.192,60,0.222222,18,195.4486
795.154,33,0.175,8,-247.9435
3805.714,45,0.1,14,698.4174
2218.98,73,0.268421,19,-64.1668
1581.998,34,0.054545,11,121.7565
3766.382,64,0.329412,17,-241.95
1204.91,45,0.2875,8,-4.0403
10663.728,82,0.131818,22,1859.4695
1908.4532,46,0.224615,13,77.8128
1256.944,15,0.166667,6,107.3604
937.039,36,0.1375,8,-341.5265
1758.3,38,0.066667,12,456.8608
3785.276,57,0.128571,14,341.898
2350.188,25,0.225,10,25.8886
1342.282,23,0.257143,7,-398.7932
1242.833,23,0.242857,7,-470.7684
776.384,35,0.119231,13,171.7372
3061.543,42,0.1875,8,-93.603
16.739,8,0.45,2,-1.2453
2394.025,55,0.188462,13,28.7612
400.016,25,0.077778,9,61.4286
2456.182,45,0.163636,11,484.7733
1252.8,19,0.233333,6,122.3612
2203.778,42,0.072727,11,238.5614
2984.948,31,0.13,10,476.9032
5503.093,79,0.168182,22,170.9746
6320.746,50,0.213333,15,1054.5529
2302.368,73,0.3,17,-405.3559
1031.602,43,0.081818,11,227.8338
2722.843,72,0.1725,20,684.9162
2921.5,51,0.166667,15,-76.1755
2071.914,53,0.107692,13,409.5112
742.082,18,0.25,4,138.7162
162.232,7,0.066667,3,42.6648
1314.023,17,0.133333,6,178.402
3794.08,68,0.18125,16,82.125
2749.881,73,0.210526,19,-520.3443
775.414,32,0.141667,12,58.8916
2477.946,36,0.26,10,290.8227
922.487,15,0.22,5,59.3577
1687.027,49,0.163636,11,169.3437
154.288,14,0.35,4,-82.0074
3206.132,77,0.121429,14,600.2873
3983.642,62,0.255,20,638.1563
5087.92,78,0.155263,19,226.4529
639.178,29,0.2,6,162.9363
7443.69,105,0.160417,24,844.9355
475.656,21,0.157143,7,84.0268
1613.402,48,0.22,15,247.4348
3144.678,73,0.1,19,280.8584
370.348,14,0.18,5,19.4312
855.116,49,0.172727,11,55.226
2890.139,31,0.13,10,509.0068
1319.4498,44,0.242727,11,-23.6763
1560.05,52,0.24,15,189.0258
1734.574,37,0.086364,11,273.8582
5341.9,51,0.078571,14,1238.422
5253.876,13,0.066667,3,1665.516
2254.285,49,0.307692,13,319.1211
4152.696,89,0.24381,21,-371.7111
593.606,11,0.066667,6,85.0191
2564.906,39,0.28,10,787.7503
273.872,7,0.1,2,24.7888
1972.599,64,0.173529,17,117.6429
2461.404,54,0.041176,17,580.3075
2218.99,38,0.264286,14,-2204.8072
8241.739,64,0.136667,15,1314.758
1821.742,29,0.244444,9,-359.021
4326.139,63,0.211111,18,353.6455
2893.455,36,0.0875,8,443.3368
8322.826,52,0.25,14,-1695.9714
377.162,13,0.25,4,85.9278
2031.472,55,0.116667,12,388.2131
1869.58,45,0.0875,16,313.6335
1395.938,41,0.111111,9,217.0893
2673.29,52,0.054545,11,760.1666
572.048,51,0.127273,11,121.2177
1418.09,44,0.06,10,343.6381
6459.344,44,0.042857,14,2751.6849
2161.979,60,0.26,15,788.9525
5529.62,77,0.057143,21,1208.889
3908.402,46,0.02,10,514.6002
1228.698,23,0.185714,7,514.5017
7903.1825,63,0.196154,13,631.2282
2367.277,37,0.223077,13,-25.1488
2575.863,52,0.206667,15,-12.304
2964.823,113,0.215385,26,-234.7714
7234.014,78,0.213636,22,1023.123
2488.31,77,0.175,20,402.4236
1567.52,58,0.16,15,-5.889
3818.624,51,0.16,10,-925.1203
729.408,27,0.185714,7,225.8588
740.356,54,0.12,10,229.2257
688.324,18,0.12,5,218.1597
1456.95,54,0.127273,11,280.6606
132.738,10,0.1,2,21.897
1832.064,22,0.22,5,272.685
1061.488,18,0.133333,3,-184.3364
9062.864,75,0.121053,19,-614.2943
2770,34,0.05,10,196.8739
2206.128,32,0.06,10,591.3118
3086.907,83,0.169231,26,137.4613
1987.164,61,0.094118,17,334.5163
729.648,6,0.2,2,47.8878
1220.09,46,0.076923,13,442.1355
1824.234,25,0.08,10,682.9979
1441.152,14,0.366667,3,-798.705
8646.934,107,0.076,25,2038.2676
239.481,29,0.25,8,-0.7527
1405.402,16,0.15,4,157.8768
4115.662,36,0.128571,7,526.7537
1467.152,47,0.123077,13,192.0396
7473.8282,91,0.21,22,38.4757
2493.214,54,0.046154,13,437.8533
4893.043,65,0.105556,18,1155.4331
1056.858,32,0.19,10,-49.7009
7252.608,138,0.108824,34,1495.0854
1840.178,43,0.116667,12,247.6226
2181.479,75,0.22381,21,-134.441
1278.639,52,0.053846,13,198.5099
6843.634,47,0.084615,13,1742.7297
160.572,19,0.371429,7,-20.0508
2876.046,52,0.084615,13,434.5284
3454.916,48,0.038462,13,803.8169
3922.415,39,0.170833,12,1290.354
6108.338,61,0.123077,13,1203.6768
2617.906,58,0.164706,17,546.0882
3832.314,53,0.04,15,1292.8656
4793.543,75,0.279545,22,304.8673
1686.9225,27,0.316667,9,-445.695
1008.196,16,0.316667,6,-164.4062
2663.086,66,0.1625,16,477.2399
4715.466,85,0.134783,23,640.5466
528.546,35,0.166667,9,76.8879
221.084,29,0.142857,7,72.679
2067.45,22,0.157143,7,243.0755
5633.316,92,0.25,18,-461.7332
966.409,29,0.11,10,63.9914
885.752,44,0.172727,11,10.5633
4272.93,60,0.106667,15,480.594
2912.894,73,0.031579,19,734.5158
2786.632,23,0.08,5,835.772
1419.737,78,0.1575,20,207.3304
1137.616,63,0.1875,16,318.4625
3133.924,85,0.057143,21,455.5292
970.942,33,0.31,10,35.0574
48.36,5,0.2,1,6.045
876.696,47,0.133333,9,209.2294
3309.15,67,0.1375,16,633.7072
2341.296,53,0.014286,14,711.6168
945.222,45,0.081818,11,280.0261
3621.376,38,0.1,8,563.7877
6979.18,43,0.033333,12,1289.4535
740.382,11,0.533333,3,0.3057
2085.74,43,0.109091,11,172.6261
1460.192,29,0.075,8,269.688
6234.91,101,0.21875,24,488.1484
1453.474,29,0.044444,9,392.1499
5979.096,39,0.045455,11,1902.5438
98.35,4,0,2,28.6879
3815.478,48,0.291667,12,-1262.5716
954.6452,47,0.193333,12,59.5384
5153.084,88,0.148,25,465.2503
2170.716,61,0.133333,15,594.5868
615.932,7,0.275,4,-73.835
3302.262,36,0.06,10,721.6826
3221.29,29,0,9,633.4514
4159.77,54,0.114286,14,1206.3851
22.328,10,0.066667,3,9.5838
7397.401,89,0.134783,23,1586.6273
3279.746,53,0.1375,16,698.8325
3495.646,61,0.073333,15,707.5503
4767.3415,75,0.192857,21,610.1496
1348.02,24,0.185714,7,157.6658
6410.996,45,0.141667,12,885.4624
8057.891,84,0.241176,17,-2082.7451
3362.9636,62,0.218824,17,-317.0508
4624.572,61,0.186667,15,1011.7443
4371.958,49,0.109091,11,440.141
3729.793,63,0.197222,18,671.0034
3979.065,64,0.216667,12,229.1617
5992.536,80,0.19,20,236.6615
1874.998,44,0.28,10,379.5611
902.728,30,0.342857,7,100.2253
1254.64,26,0,8,370.1578
2576.408,66,0.157143,14,611.8291
5226.21,133,0.15,26,1276.6513
4492.657,75,0.304762,21,-671.1874
279.256,11,0.12,5,51.8252
280.632,13,0.2,4,31.1757
6121.114,82,0.104762,21,1985.1672
763.546,35,0.1,9,228.1623
3422.786,74,0.126667,15,286.9046
3336.535,66,0.270588,17,539.9352
3406.581,30,0.068182,11,570.438
1884.798,62,0.15,14,-119.0105
3124.832,49,0.092308,13,463.269
47.946,17,0.4,5,-3.7073
3406.8395,113,0.136207,29,558.474
2180.718,45,0.233333,15,-144.5229
2096.392,16,0.2,2,260.6258
3949.656,104,0.233333,24,144.1189
1341.036,35,0.37,10,-23.5137
1318.776,30,0.142857,7,68.0963
883.409,19,0.22,5,168.7933
3053.012,30,0.177778,9,527.9715
244.494,26,0.266667,6,-26.5927
1043.041,20,0.283333,6,-237.2885
5563.392,94,0.127273,22,581.5742
1860.418,67,0.173333,15,-716.8565
3127.9592,89,0.116842,19,481.7499
2602.5755,52,0.136667,15,-81.0858
1306.086,43,0.26,10,-118.7757
5440.319,77,0.25,24,-270.4282
1872.436,71,0.153333,15,268.4782
4282.94,80,0.208333,24,566.7226
3990.689,57,0.271429,14,14.6924
3233.481,34,0.366667,9,-3333.9144
4345.886,50,0.033333,12,1990.4244
1324.028,86,0.114286,21,332.3487
3056.807,46,0.258333,12,-1010.9738
613.4,36,0,6,199.9345
418.49,17,0,9,135.5401
964.636,39,0.24,15,-75.586
433.34,33,0.2,12,84.4419
2595.364,61,0.133333,18,763.4719
11470.95,109,0.15625,32,1199.4242
4105.305,91,0.184,25,485.0272
1271.09,24,0.2,6,199.6502
1903.491,66,0.230769,13,106.8912
1085.078,33,0.26,10,-19.6062
1966.65,28,0.028571,7,332.8725
1019.044,25,0.216667,6,95.8383
2921.544,18,0.111111,9,793.6548
758.696,27,0.1,8,68.2416
3625.329,69,0.22,20,366.4303
1467.881,66,0.055556,18,390.2113
3589.296,36,0.090909,11,829.1635
816.174,23,0.025,4,179.0038
1602.376,74,0.247368,19,260.6155
2198.45,35,0.1,11,490.9567
834.328,44,0.061538,13,268.967
9133.99,55,0.070588,17,2798.3689
4737.486,85,0.265,20,-1603.0451
1387.559,29,0.271429,7,-136.4091
2797.668,60,0.14,15,379.882
1038.26,17,0,4,265.5332
4266.812,63,0.13125,16,606.3727
1244.976,45,0.263636,11,119.104
742.558,28,0.11,10,217.933
1434.548,67,0.24375,16,88.1897
3058.372,30,0.211111,9,682.1704
2074.661,50,0.13,10,365.7205
2422.824,29,0.171429,7,-135.2125
2942.772,29,0.233333,9,-252.5539
1022.201,40,0.207692,13,92.729
4234.096,44,0.069231,13,-571.9678
2955.226,67,0.052632,19,573.3013
1094.678,12,0.05,4,292.521
3130.221,48,0.2,12,-692.0452
4454.056,55,0.0875,16,1129.1261
5329.0048,39,0.462,10,-1087.3898
1936.64,48,0.24,10,139.2287
675.942,22,0.028571,7,220.3644
